SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Temperature (ºC),Carbonate (mg/L),Calcium (mg/L),Chloride (mg/L),Dissolved oxygen (mg/L),Bicarbonate (mg/L),Magnesium (mg/L),Sodium (mg/L),Potential of Hydrogen (pH),Sulphate (mg/L),Total Alkalinity (mg/L as CaCO3),Total Hardness (mgCaCO3/L),Nitrate N (mgN/L),Sodium Adsorption Ratio (%),Biochemical Oxygen Demand (mg/L),WQI,WQI Class
359,AMBARAMPALAYAM,CWC,33,Tamil Nadu,569,Coimbatore,POLLACHI,ANAIMALAI,Ambarampalayam,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,-,-,Aliyar,10.63138889,76.94611111,01-05-2001 09:20,462.0,Clear,odour free,26.2,0.0,43.2,13.74,6.7,245.94,18.50202,23.7,8.16,15.246,201.59016,185.09175,2.0,0.7601499,2.0,65.31444169627387,Poor
360,AMBARAMPALAYAM,CWC,33,Tamil Nadu,569,Coimbatore,POLLACHI,ANAIMALAI,Ambarampalayam,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,-,-,Aliyar,10.63138889,76.94611111,01-06-2001 09:00,230.0,Clear,odour free,26.2,0.0,22.44,12.54,7.5,123.99,12.64,10.1,8.16,7.43,101.63115,108.76667,0.967,0.4227422,1.0,46.66260498156009,Good
361,AMBARAMPALAYAM,CWC,33,Tamil Nadu,569,Coimbatore,POLLACHI,ANAIMALAI,Ambarampalayam,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,-,-,Aliyar,10.63138889,76.94611111,02-07-2001 09:45,242.0,Clear,odour free,25.2,0.0,22.44,12.05,7.5,126.64,8.75,16.1,7.89,2.3,103.803276,92.558334,1.02,0.73014635,0.8,40.88347525573466,Good
362,AMBARAMPALAYAM,CWC,33,Tamil Nadu,569,Coimbatore,POLLACHI,ANAIMALAI,Ambarampalayam,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,-,-,Aliyar,10.63138889,76.94611111,01-08-2001 08:15,202.0,Clear,odour free,24.3,0.0,22.44,10.25,7.0,100.78,7.78,8.9,8.15,2.77,82.60656,88.51667,0.721,0.41267186,0.9,45.3837491095983,Good
363,AMBARAMPALAYAM,CWC,33,Tamil Nadu,569,Coimbatore,POLLACHI,ANAIMALAI,Ambarampalayam,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,-,-,Aliyar,10.63138889,76.94611111,01-09-2001 08:30,149.0,Clear,odour free,25.5,0.0,16.03,7.86,7.3,84.04,5.8,6.1,7.45,2.33,68.88525,64.24167,0.345,0.33202592,0.8,35.59973015642139,Good
364,AMBARAMPALAYAM,CWC,33,Tamil Nadu,569,Coimbatore,POLLACHI,ANAIMALAI,Ambarampalayam,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,-,-,Aliyar,10.63138889,76.94611111,01-10-2001 08:40,109.0,Clear,odour free,24.3,0.0,14.43,7.8,7.5,63.47,3.89,10.6,7.67,3.93,52.02459,52.283333,0.61,0.63932383,0.8,37.14960771891443,Good
365,AMBARAMPALAYAM,CWC,33,Tamil Nadu,569,Coimbatore,POLLACHI,ANAIMALAI,Ambarampalayam,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,-,-,Aliyar,10.63138889,76.94611111,01-11-2001 09:00,354.0,Light Brown,odour free,25.5,0.0,36.87,7.74,7.7,206.9,13.61,17.8,7.91,3.67,169.59016,148.88333,1.45,0.63644147,1.6,53.24694975857219,Poor
366,AMBARAMPALAYAM,CWC,33,Tamil Nadu,569,Coimbatore,POLLACHI,ANAIMALAI,Ambarampalayam,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,-,-,Aliyar,10.63138889,76.94611111,01-12-2001 08:30,140.0,Light Brown,odour free,24.8,0.0,12.83,19.95,7.1,108.34,8.75,23.9,7.8,3.7,88.803276,68.53333,1.01,1.2605509,1.0,43.44013076283243,Good
367,AMBARAMPALAYAM,CWC,33,Tamil Nadu,569,Coimbatore,POLLACHI,ANAIMALAI,Ambarampalayam,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,-,-,Aliyar,10.63138889,76.94611111,01-01-2002 08:15,144.0,Clear,odour free,24.8,0.0,17.64,11.08,7.6,75.84,3.89,8.2,7.65,3.529,62.163933,60.30833,0.652,0.46039006,0.8,36.880954163268804,Good
368,AMBARAMPALAYAM,CWC,33,Tamil Nadu,569,Coimbatore,POLLACHI,ANAIMALAI,Ambarampalayam,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,-,-,Aliyar,10.63138889,76.94611111,01-02-2002 09:00,153.0,Clear,odour free,24.8,0.0,16.03,11.19,6.9,81.26,8.75,7.6,7.6,3.66,66.60656,76.53333,1.37,0.3792033,0.7,38.38344119036832,Good
